targetId,comparatorId,outcomeIds,excludedCovariateConceptIds,includedCovariateConceptIds
11400,11403,14347,1310149;40228152;40241331;43013024,
11401,11403,14347,1310149;40228152;40241331;43013024,
11402,11403,14347,1310149;40228152;40241331;43013024,
11400,11401,14347,1310149;40228152;40241331;43013024,
11400,11402,14347,1310149;40228152;40241331;43013024,
11401,11402,14347,1310149;40228152;40241331;43013024,
11404,11407,14347,1310149;40228152;40241331;43013024,
11405,11407,14347,1310149;40228152;40241331;43013024,
11406,11407,14347,1310149;40228152;40241331;43013024,
11404,11405,14347,1310149;40228152;40241331;43013024,
11404,11406,14347,1310149;40228152;40241331;43013024,
11405,11406,14347,1310149;40228152;40241331;43013024,
11408,11411,14347,1310149;40228152;40241331;43013024,
11409,11411,14347,1310149;40228152;40241331;43013024,
11410,11411,14347,1310149;40228152;40241331;43013024,
11408,11409,14347,1310149;40228152;40241331;43013024,
11408,11410,14347,1310149;40228152;40241331;43013024,
11409,11410,14347,1310149;40228152;40241331;43013024,
11412,11415,14347,1310149;40228152;40241331;43013024,
11413,11415,14347,1310149;40228152;40241331;43013024,
11414,11415,14347,1310149;40228152;40241331;43013024,
11412,11413,14347,1310149;40228152;40241331;43013024,
11412,11414,14347,1310149;40228152;40241331;43013024,
11413,11414,14347,1310149;40228152;40241331;43013024,
13033,13234,14347,1310149;40228152;40241331;43013024,
13199,13234,14347,1310149;40228152;40241331;43013024,
13200,13234,14347,1310149;40228152;40241331;43013024,
13033,13199,14347,1310149;40228152;40241331;43013024,
13033,13200,14347,1310149;40228152;40241331;43013024,
13199,13200,14347,1310149;40228152;40241331;43013024,
13203,13235,14347,1310149;40228152;40241331;43013024,
13204,13235,14347,1310149;40228152;40241331;43013024,
13205,13235,14347,1310149;40228152;40241331;43013024,
13203,13204,14347,1310149;40228152;40241331;43013024,
13203,13205,14347,1310149;40228152;40241331;43013024,
13204,13205,14347,1310149;40228152;40241331;43013024,
13207,13236,14347,1310149;40228152;40241331;43013024,
13208,13236,14347,1310149;40228152;40241331;43013024,
13209,13236,14347,1310149;40228152;40241331;43013024,
13207,13208,14347,1310149;40228152;40241331;43013024,
13207,13209,14347,1310149;40228152;40241331;43013024,
13208,13209,14347,1310149;40228152;40241331;43013024,
13211,13237,14347,1310149;40228152;40241331;43013024,
13212,13237,14347,1310149;40228152;40241331;43013024,
13213,13237,14347,1310149;40228152;40241331;43013024,
13211,13212,14347,1310149;40228152;40241331;43013024,
13211,13213,14347,1310149;40228152;40241331;43013024,
13212,13213,14347,1310149;40228152;40241331;43013024,
