"databaseName","definitionId","definitionName","description","indexPersonCount","rulePersonCount","rulePercentSatisfied","doseEqualsTotal"
"IBM CCAE",11547,"[680] Female rivaroxaban new users with prior non-valvular atrial fibrillation (starting dose test)","Rivaroxaban starting dose 2.5 mg",7525,1,"0.01%",1
"IBM CCAE",11547,"[680] Female rivaroxaban new users with prior non-valvular atrial fibrillation (starting dose test)","Rivaroxaban starting dose 10 mg",7525,323,"4.29%",1
"IBM CCAE",11547,"[680] Female rivaroxaban new users with prior non-valvular atrial fibrillation (starting dose test)","Rivaroxaban starting dose 15 mg",7525,342,"4.54%",1
"IBM CCAE",11547,"[680] Female rivaroxaban new users with prior non-valvular atrial fibrillation (starting dose test)","Rivaroxaban starting dose 20 mg",7525,6827,"90.72%",1
"IBM CCAE",11547,"[680] Female rivaroxaban new users with prior non-valvular atrial fibrillation (starting dose test)","Rivaroxaban starting dose 30 mg",7525,0,"0.00%",1
"IBM CCAE",11547,"[680] Female rivaroxaban new users with prior non-valvular atrial fibrillation (starting dose test)","Rivaroxaban multiple starting doses",7525,32,"0.43%",1
"IBM CCAE",11548,"[680] Female rivaroxaban new users with prior venous thromboembolism (starting dose test)","Rivaroxaban starting dose 2.5 mg",12270,2,"0.02%",1
"IBM CCAE",11548,"[680] Female rivaroxaban new users with prior venous thromboembolism (starting dose test)","Rivaroxaban starting dose 10 mg",12270,415,"3.38%",1
"IBM CCAE",11548,"[680] Female rivaroxaban new users with prior venous thromboembolism (starting dose test)","Rivaroxaban starting dose 15 mg",12270,5667,"46.19%",1
"IBM CCAE",11548,"[680] Female rivaroxaban new users with prior venous thromboembolism (starting dose test)","Rivaroxaban starting dose 20 mg",12270,3835,"31.26%",1
"IBM CCAE",11548,"[680] Female rivaroxaban new users with prior venous thromboembolism (starting dose test)","Rivaroxaban starting dose 30 mg",12270,0,"0.00%",1
"IBM CCAE",11548,"[680] Female rivaroxaban new users with prior venous thromboembolism (starting dose test)","Rivaroxaban multiple starting doses",12270,2351,"19.16%",1
"IBM CCAE",11551,"[680] Female rivaroxaban new users with prior knee or hip replacement surgery (starting dose test)","Rivaroxaban starting dose 2.5 mg",18659,0,"0.00%",1
"IBM CCAE",11551,"[680] Female rivaroxaban new users with prior knee or hip replacement surgery (starting dose test)","Rivaroxaban starting dose 10 mg",18659,18520,"99.26%",1
"IBM CCAE",11551,"[680] Female rivaroxaban new users with prior knee or hip replacement surgery (starting dose test)","Rivaroxaban starting dose 15 mg",18659,41,"0.22%",1
"IBM CCAE",11551,"[680] Female rivaroxaban new users with prior knee or hip replacement surgery (starting dose test)","Rivaroxaban starting dose 20 mg",18659,88,"0.47%",1
"IBM CCAE",11551,"[680] Female rivaroxaban new users with prior knee or hip replacement surgery (starting dose test)","Rivaroxaban starting dose 30 mg",18659,0,"0.00%",1
"IBM CCAE",11551,"[680] Female rivaroxaban new users with prior knee or hip replacement surgery (starting dose test)","Rivaroxaban starting dose unknown",18659,10,"0.05%",1
"IBM CCAE",11561,"[680] Female apixaban new users with prior non-valvular atrial fibrillation (starting dose test)","Apixaban starting dose 2.5 mg",8247,286,"3.47%",1
"IBM CCAE",11561,"[680] Female apixaban new users with prior non-valvular atrial fibrillation (starting dose test)","Apixaban starting dose 5 mg",8247,7959,"96.51%",1
"IBM CCAE",11561,"[680] Female apixaban new users with prior non-valvular atrial fibrillation (starting dose test)","Apixaban mulitple starting dose",8247,2,"0.02%",1
"IBM CCAE",11562,"[680] Female apixaban new users with prior venous thromboembolism (starting dose test)","Apixaban starting dose 2.5 mg",5203,222,"4.27%",1
"IBM CCAE",11562,"[680] Female apixaban new users with prior venous thromboembolism (starting dose test)","Apixaban starting dose 5 mg",5203,4977,"95.66%",1
"IBM CCAE",11562,"[680] Female apixaban new users with prior venous thromboembolism (starting dose test)","Apixaban mulitple starting dose",5203,4,"0.08%",1
"IBM CCAE",11564,"[680] Female apixaban new users with prior knee or hip replacement surgery (starting dose test)","Apixaban starting dose 2.5 mg",2077,2004,"96.49%",1
"IBM CCAE",11564,"[680] Female apixaban new users with prior knee or hip replacement surgery (starting dose test)","Apixaban starting dose 5 mg",2077,72,"3.47%",1
"IBM CCAE",11564,"[680] Female apixaban new users with prior knee or hip replacement surgery (starting dose test)","Apixaban mulitple starting dose",2077,1,"0.05%",1
"IBM CCAE",11565,"[680] Female dabigatran new users with prior non-valvular atrial fibrillation (starting dose test)","Dabigatran starting dose 75 mg",4193,118,"2.81%",1
"IBM CCAE",11565,"[680] Female dabigatran new users with prior non-valvular atrial fibrillation (starting dose test)","Dabigatran starting dose 110 mg",4193,1,"0.02%",1
"IBM CCAE",11565,"[680] Female dabigatran new users with prior non-valvular atrial fibrillation (starting dose test)","Dabigatran starting dose 150 mg",4193,4074,"97.16%",1
"IBM CCAE",11565,"[680] Female dabigatran new users with prior non-valvular atrial fibrillation (starting dose test)","Dabigatran multiple starting doses",4193,0,"0.00%",1
"IBM CCAE",11566,"[680] Female dabigatran new users with prior venous thromboembolism (starting dose test)","Dabigatran starting dose 75 mg",326,13,"3.99%",1
"IBM CCAE",11566,"[680] Female dabigatran new users with prior venous thromboembolism (starting dose test)","Dabigatran starting dose 110 mg",326,0,"0.00%",1
"IBM CCAE",11566,"[680] Female dabigatran new users with prior venous thromboembolism (starting dose test)","Dabigatran starting dose 150 mg",326,313,"96.01%",1
"IBM CCAE",11566,"[680] Female dabigatran new users with prior venous thromboembolism (starting dose test)","Dabigatran multiple starting doses",326,0,"0.00%",1
"IBM CCAE",11568,"[680] Female dabigatran new users with prior knee or hip replacement surgery (starting dose test)","Dabigatran starting dose 75 mg",12,2,"16.67%",1
"IBM CCAE",11568,"[680] Female dabigatran new users with prior knee or hip replacement surgery (starting dose test)","Dabigatran starting dose 110 mg",12,0,"0.00%",1
"IBM CCAE",11568,"[680] Female dabigatran new users with prior knee or hip replacement surgery (starting dose test)","Dabigatran starting dose 150 mg",12,10,"83.33%",1
"IBM CCAE",11568,"[680] Female dabigatran new users with prior knee or hip replacement surgery (starting dose test)","Dabigatran multiple starting doses",12,0,"0.00%",1
"IBM MDCR",11547,"[680] Female rivaroxaban new users with prior non-valvular atrial fibrillation (starting dose test)","Rivaroxaban starting dose 2.5 mg",14817,1,"0.01%",1
"IBM MDCR",11547,"[680] Female rivaroxaban new users with prior non-valvular atrial fibrillation (starting dose test)","Rivaroxaban starting dose 10 mg",14817,945,"6.38%",1
"IBM MDCR",11547,"[680] Female rivaroxaban new users with prior non-valvular atrial fibrillation (starting dose test)","Rivaroxaban starting dose 15 mg",14817,4405,"29.73%",1
"IBM MDCR",11547,"[680] Female rivaroxaban new users with prior non-valvular atrial fibrillation (starting dose test)","Rivaroxaban starting dose 20 mg",14817,9403,"63.46%",1
"IBM MDCR",11547,"[680] Female rivaroxaban new users with prior non-valvular atrial fibrillation (starting dose test)","Rivaroxaban starting dose 30 mg",14817,0,"0.00%",1
"IBM MDCR",11547,"[680] Female rivaroxaban new users with prior non-valvular atrial fibrillation (starting dose test)","Rivaroxaban multiple starting doses",14817,63,"0.43%",1
"IBM MDCR",11548,"[680] Female rivaroxaban new users with prior venous thromboembolism (starting dose test)","Rivaroxaban starting dose 2.5 mg",5834,0,"0.00%",1
"IBM MDCR",11548,"[680] Female rivaroxaban new users with prior venous thromboembolism (starting dose test)","Rivaroxaban starting dose 10 mg",5834,221,"3.79%",1
"IBM MDCR",11548,"[680] Female rivaroxaban new users with prior venous thromboembolism (starting dose test)","Rivaroxaban starting dose 15 mg",5834,2883,"49.42%",1
"IBM MDCR",11548,"[680] Female rivaroxaban new users with prior venous thromboembolism (starting dose test)","Rivaroxaban starting dose 20 mg",5834,1735,"29.74%",1
"IBM MDCR",11548,"[680] Female rivaroxaban new users with prior venous thromboembolism (starting dose test)","Rivaroxaban starting dose 30 mg",5834,0,"0.00%",1
"IBM MDCR",11548,"[680] Female rivaroxaban new users with prior venous thromboembolism (starting dose test)","Rivaroxaban multiple starting doses",5834,995,"17.06%",1
"IBM MDCR",11551,"[680] Female rivaroxaban new users with prior knee or hip replacement surgery (starting dose test)","Rivaroxaban starting dose 2.5 mg",8216,0,"0.00%",1
"IBM MDCR",11551,"[680] Female rivaroxaban new users with prior knee or hip replacement surgery (starting dose test)","Rivaroxaban starting dose 10 mg",8216,8130,"98.95%",1
"IBM MDCR",11551,"[680] Female rivaroxaban new users with prior knee or hip replacement surgery (starting dose test)","Rivaroxaban starting dose 15 mg",8216,33,"0.40%",1
"IBM MDCR",11551,"[680] Female rivaroxaban new users with prior knee or hip replacement surgery (starting dose test)","Rivaroxaban starting dose 20 mg",8216,42,"0.51%",1
"IBM MDCR",11551,"[680] Female rivaroxaban new users with prior knee or hip replacement surgery (starting dose test)","Rivaroxaban starting dose 30 mg",8216,0,"0.00%",1
"IBM MDCR",11551,"[680] Female rivaroxaban new users with prior knee or hip replacement surgery (starting dose test)","Rivaroxaban starting dose unknown",8216,11,"0.13%",1
"IBM MDCR",11561,"[680] Female apixaban new users with prior non-valvular atrial fibrillation (starting dose test)","Apixaban starting dose 2.5 mg",18499,6306,"34.09%",1
"IBM MDCR",11561,"[680] Female apixaban new users with prior non-valvular atrial fibrillation (starting dose test)","Apixaban starting dose 5 mg",18499,12183,"65.86%",1
"IBM MDCR",11561,"[680] Female apixaban new users with prior non-valvular atrial fibrillation (starting dose test)","Apixaban mulitple starting dose",18499,10,"0.05%",1
"IBM MDCR",11562,"[680] Female apixaban new users with prior venous thromboembolism (starting dose test)","Apixaban starting dose 2.5 mg",2932,408,"13.92%",1
"IBM MDCR",11562,"[680] Female apixaban new users with prior venous thromboembolism (starting dose test)","Apixaban starting dose 5 mg",2932,2502,"85.33%",1
"IBM MDCR",11562,"[680] Female apixaban new users with prior venous thromboembolism (starting dose test)","Apixaban mulitple starting dose",2932,22,"0.75%",1
"IBM MDCR",11564,"[680] Female apixaban new users with prior knee or hip replacement surgery (starting dose test)","Apixaban starting dose 2.5 mg",876,837,"95.55%",1
"IBM MDCR",11564,"[680] Female apixaban new users with prior knee or hip replacement surgery (starting dose test)","Apixaban starting dose 5 mg",876,39,"4.45%",1
