"newCohortId","newCohortName","databaseName","N","SUM_OT_YEARS","AVG_OT","STDDEV_OT","MIN_OT","P10_OT","P25_OT","P50_OT","P75_OT","P90_OT","MAX_OT","SUM_ITT_YEARS","AVG_ITT","STDDEV_ITT","MIN_ITT","P10_ITT","P25_ITT","P50_ITT","P75_ITT","P90_ITT","MAX_ITT"
1140003,"Female rivaroxaban new users with prior non-valvular atrial fibrillation: 3 follow-up gap days","IBM CCAE",7525,1799.364818,87,103.187379313611,0,29,29,55,104,194,1211,13060.717316,633,545.925417098616,0,76,205,473,929,1451,2728
1140007,"Female rivaroxaban new users with prior non-valvular atrial fibrillation: 7 follow-up gap days","IBM CCAE",7525,2647.665982,128,164.677896737656,0,29,29,64,158,313,2055,13060.717316,633,545.925417098616,0,76,205,473,929,1451,2728
1140015,"Female rivaroxaban new users with prior non-valvular atrial fibrillation: 15 follow-up gap days","IBM CCAE",7525,3766.162902,182,239.974431381399,0,29,29,89,232,460,2238,13060.717316,633,545.925417098616,0,76,205,473,929,1451,2728
1140030,"Female rivaroxaban new users with prior non-valvular atrial fibrillation: 30 follow-up gap days","IBM CCAE",7525,4923.331964,238,305.199670806807,0,29,29,119,317,615,2652,13060.717316,633,545.925417098616,0,76,205,473,929,1451,2728
1140103,"Female apixaban new users with prior non-valvular atrial fibrillation: 3 follow-up gap days","IBM CCAE",8247,2082.329911,92,106.233806085234,0,29,29,56,112,204,1651,12107.052703,536,433.106807860873,0,87,212,416,762,1166,2339
1140107,"Female apixaban new users with prior non-valvular atrial fibrillation: 7 follow-up gap days","IBM CCAE",8247,3143.753593,139,165.449616575333,0,29,29,86,178,334,1781,12107.052703,536,433.106807860873,0,87,212,416,762,1166,2339
1140115,"Female apixaban new users with prior non-valvular atrial fibrillation: 15 follow-up gap days","IBM CCAE",8247,4465.809719,197,234.564963782917,0,29,29,110,265,481,2036,12107.052703,536,433.106807860873,0,87,212,416,762,1166,2339
1140130,"Female apixaban new users with prior non-valvular atrial fibrillation: 30 follow-up gap days","IBM CCAE",8247,5900.958247,261,295.174032773857,0,29,56,157,358,643,2210,12107.052703,536,433.106807860873,0,87,212,416,762,1166,2339
1140203,"Female dabigatran new users with prior non-valvular atrial fibrillation: 3 follow-up gap days","IBM CCAE",4193,902.466803,78,86.878254959528,0,29,29,52,89,174,908,8538.721423,743,698.072285688977,0,85,221,504,1057,1789,3178
1140207,"Female dabigatran new users with prior non-valvular atrial fibrillation: 7 follow-up gap days","IBM CCAE",4193,1267.290896,110,136.241860423454,0,29,29,58,129,266,1525,8538.721423,743,698.072285688977,0,85,221,504,1057,1789,3178
1140215,"Female dabigatran new users with prior non-valvular atrial fibrillation: 15 follow-up gap days","IBM CCAE",4193,1797.667351,156,211.71489977908,0,29,29,85,186,383,2804,8538.721423,743,698.072285688977,0,85,221,504,1057,1789,3178
